id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack,pass,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,possession,carry.progression,carry.endLocation.x,carry.endLocation.y,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper,shot.goalkeeper.id,shot.goalkeeper.name,infraction.opponent,location,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3201591789,5819343,1H,1,46,00:01:46.506,107.506354,3201593816.0,,,,,,corner,[],100.0,0.0,6786,Rosengård,4-4-2,6849,Jönköpings Södra,5-3-2,1191227,H. Aroko,RW,True,122.0,high,22.0,0.0,,,89.0,28.0,3201591789.0,20.7162065,"['corner', 'set_piece_attack', 'attack']",9.0,0.0,100.0,0.0,71.0,93.0,6786.0,Rosengård,4-4-2,,,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,89.0,28.0,left,106,False,False,False,edge_recycle_zone,False,False,0,0,0,0,0.0,0.0,,
3201591982,5819343,1H,15,17,00:15:17.406,918.406047,3201591986.0,,,,,,corner,[],100.0,100.0,6786,Rosengård,4-4-2,6849,Jönköpings Södra,5-3-2,333740,A. Malaj,SS,True,-98.0,high,45.0,748626.0,G. Ankamafio,LCB,94.0,35.0,3201591982.0,2.228638,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,94.0,35.0,6786.0,Rosengård,4-4-2,,,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,94.0,35.0,right,917,False,False,False,front_post,False,False,0,0,0,0,0.0,0.0,,
3201592005,5819343,1H,16,56,00:16:56.512,1017.512516,3201592150.0,,,,,,corner,[],100.0,100.0,6786,Rosengård,4-4-2,6849,Jönköpings Södra,5-3-2,333740,A. Malaj,SS,False,-102.0,high,38.0,812471.0,A. Eriksson,RB5,92.0,45.0,3201592005.0,0.8810735,"['corner', 'set_piece_attack']",1.0,0.0,100.0,100.0,92.0,45.0,6786.0,Rosengård,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,92.0,45.0,right,1016,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3201592863,5819343,2H,67,35,01:07:35.271,4069.271454,3201593244.0,,,,,,corner,[],100.0,100.0,6786,Rosengård,4-4-2,6849,Jönköpings Södra,5-3-2,904575,M. Ritari,SS,False,-113.0,high,30.0,613701.0,H. Lyck,RCB3,89.0,59.0,3201592863.0,20.096773,"['corner', 'set_piece_attack', 'attack']",9.0,0.0,100.0,100.0,80.0,0.0,6786.0,Rosengård,4-4-2,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,89.0,59.0,right,4055,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3183070990,5819327,1H,8,26,00:08:26.550,507.550605,3183070991.0,,,,,,corner,[],100.0,0.0,6925,Laholms FK,4-4-2,6849,Jönköpings Södra,4-2-3-1,1315751,S. Svensson,RW,True,94.0,high,29.0,939467.0,M. Andersson,SS,98.0,43.0,3183070990.0,7.8610195,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,0.0,90.0,60.0,6925.0,Laholms FK,4-4-2,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,98.0,43.0,left,506,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3183071196,5819327,1H,25,35,00:25:35.993,1536.993887,3183070956.0,,,,,,corner,[],100.0,0.0,6925,Laholms FK,4-4-2,6849,Jönköpings Södra,4-2-3-1,1315751,S. Svensson,RW,False,98.0,high,36.0,899727.0,A. Eriksson,GK,95.0,53.0,3183071196.0,3.387158,"['corner', 'set_piece_attack']",3.0,0.0,100.0,0.0,79.0,100.0,6925.0,Laholms FK,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,53.0,left,1535,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3183072137,5819327,2H,89,8,01:29:08.051,5450.051427,3183072141.0,,,,,,corner,['loss'],100.0,0.0,6925,Laholms FK,4-4-2,6849,Jönköpings Södra,4-2-3-1,1315751,S. Svensson,RW,True,98.0,high,30.0,939469.0,O. Johansson,RCB,96.0,43.0,3183072137.0,6.3407905,"['corner', 'set_piece_attack', 'attack']",10.0,0.0,100.0,0.0,75.0,37.0,6925.0,Laholms FK,4-4-2,,,True,False,False,center,0.0018,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,43.0,left,5348,False,False,True,six_yard_central,True,False,1,0,0,0,0.0018,0.0018,N. Hedström,1315748.0
3181122342,5819314,1H,5,36,00:05:36.752,337.752065,3181124330.0,,,,,,corner,[],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,-107.0,low,32.0,0.0,,,90.0,51.0,3181122342.0,10.823596,"['corner', 'set_piece_attack', 'attack']",9.0,0.0,100.0,100.0,55.0,100.0,7014.0,Olympic,4-3-3,,,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,90.0,51.0,right,336,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3181122406,5819314,1H,9,2,00:09:02.090,543.090726,3181122474.0,,,,,,corner,[],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,False,-109.0,high,48.0,1060409.0,L. Lyck,CF,85.0,33.0,3181122406.0,1.256205,"['corner', 'set_piece_attack']",1.0,0.0,100.0,100.0,85.0,33.0,7014.0,Olympic,4-3-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,85.0,33.0,right,542,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3181122660,5819314,1H,24,21,00:24:21.657,1462.657838,3181122661.0,,,,,,corner,['shot_assist'],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,-108.0,high,49.0,338960.0,M. Moro,RWF,86.0,32.0,3181122660.0,3.369616,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,100.0,73.0,36.0,7014.0,Olympic,4-3-3,,,True,False,False,center,0.0023,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,86.0,32.0,right,1461,True,False,False,penalty_spot_zone,True,False,1,0,0,0,0.0023,0.0023,A. Robert,818635.0
