id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack,pass,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,carry.progression,carry.endLocation.x,carry.endLocation.y,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper.id,shot.goalkeeper.name,shot.goalkeeper,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,infraction.opponent,location,aerialDuel.opponent,groundDuel.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3201311373,5819342,1H,23,55,00:23:55.357,1436.357429,3201311438.0,,,,,,corner,['loss'],100.0,100.0,6729,Åtvidaberg,4-1-3-2,6742,Ängelholm,4-2-3-1,516118,E. Grandelius,AMF,False,-99.0,high,40.0,615572.0,E. Vedholm,LCB,94.0,42.0,3201311373.0,18.8279745,"['corner', 'set_piece_attack', 'attack']",9.0,0.0,100.0,100.0,86.0,60.0,6729.0,Åtvidaberg,4-1-3-2,,,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,94.0,42.0,right,1435,False,False,True,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3201312190,5819342,2H,71,56,01:11:56.059,4442.059119,3201312192.0,,,,,,corner,[],100.0,100.0,6729,Åtvidaberg,4-1-3-2,6742,Ängelholm,4-2-3-1,516118,E. Grandelius,AMF,True,-98.0,high,27.0,939582.0,J. Lindvall,DMF,96.0,61.0,3201312190.0,1.382254,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,100.0,96.0,61.0,6729.0,Åtvidaberg,4-1-3-2,,,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,96.0,61.0,right,4316,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3202826960,5819324,1H,23,26,00:23:26.221,1407.221126,3202826959.0,,,,,,corner,[],100.0,0.0,6777,Trollhättan,4-4-2,6742,Ängelholm,4-4-1,581386,W. Jensen,RCMF,False,96.0,high,37.0,499232.0,R. Streifert,GK,96.0,54.0,3202826960.0,6.784702,"['corner', 'set_piece_attack']",3.0,0.0,100.0,0.0,85.0,100.0,6777.0,Trollhättan,4-4-2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,54.0,left,1406,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3202827436,5819324,1H,43,9,00:43:09.257,2590.257922,3202827441.0,,,,,,corner,['shot_assist'],100.0,0.0,6777,Trollhättan,4-4-2,6742,Ängelholm,4-4-1,581386,W. Jensen,RCMF,True,98.0,high,35.0,778346.0,F. Sterner,LB,95.0,51.0,3202827436.0,2.6210825,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,0.0,94.0,51.0,6777.0,Trollhättan,4-4-2,,,True,False,False,left,0.1715,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,51.0,left,2589,True,False,False,six_yard_central,True,False,1,0,1,0,0.1715,0.1715,F. Sterner,778346.0
3202827685,5819324,2H,50,52,00:50:52.681,3202.681146,3202827686.0,,,,,,corner,[],100.0,0.0,6777,Trollhättan,4-4-2,6742,Ängelholm,4-4-1,581386,W. Jensen,RCMF,True,153.0,low,13.0,615855.0,M. Berg,CF,89.0,9.0,3202827685.0,1.7173535,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,0.0,91.0,43.0,6777.0,Trollhättan,4-4-2,,,True,False,False,left,0.0996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,89.0,9.0,left,3052,False,False,False,edge_recycle_zone,True,False,1,0,1,0,0.0996,0.0996,V. Hermansson,1185693.0
3202828103,5819324,2H,78,58,01:18:58.346,4888.346197,3202828104.0,,,,,,corner,[],100.0,100.0,6777,Trollhättan,4-4-2,6742,Ängelholm,4-4-1,616190,S. Bosnic,SS,True,-139.0,low,20.0,1180718.0,V. Johansson,RB,86.0,81.0,3202828103.0,12.920111,"['corner', 'set_piece_attack', 'attack']",11.0,0.0,100.0,100.0,89.0,66.0,6777.0,Trollhättan,4-4-2,,,True,False,False,right,0.0566,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,86.0,81.0,right,4738,False,False,False,edge_recycle_zone,True,False,1,0,0,0,0.0566,0.0566,S. Bosnic,616190.0
3202828264,5819324,2H,93,33,01:33:33.328,5763.32877,3202828265.0,,,,,,corner,[],100.0,0.0,6777,Trollhättan,4-4-2,6742,Ängelholm,4-4-1,616190,S. Bosnic,SS,True,140.0,low,8.0,1185693.0,V. Hermansson,CF,94.0,7.0,3202828264.0,3.985517,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,0.0,97.0,4.0,6777.0,Trollhättan,4-4-2,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,94.0,7.0,left,5613,False,False,False,front_post,False,False,0,0,0,0,0.0,0.0,,
3164146102,5819307,1H,33,33,00:33:33.839,2014.839272,3164146112.0,,,,,,corner,[],100.0,100.0,6751,Kristianstad,4-4-2,6742,Ängelholm,4-4-2,776253,A. Hughes,LB,True,-103.0,high,40.0,432470.0,O. Dampha,SS,91.0,43.0,3164146102.0,3.789629,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,77.0,0.0,6751.0,Kristianstad,4-4-2,,,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,91.0,43.0,right,2013,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3164146143,5819307,1H,35,1,00:35:01.065,2102.065294,3164146146.0,,,,,,corner,[],100.0,0.0,6751,Kristianstad,4-4-2,6742,Ängelholm,4-4-2,570777,S. Svedin,LCMF,True,153.0,low,12.0,1316270.0,V. Fridman,LW,90.0,7.0,3164146143.0,5.299677,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,0.0,90.0,51.0,6751.0,Kristianstad,4-4-2,,,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,90.0,7.0,left,2101,False,False,False,edge_recycle_zone,False,False,0,0,0,0,0.0,0.0,,
3156735685,5819292,1H,19,1,00:19:01.535,1142.53523,3156734381.0,,,,,,corner,[],100.0,100.0,71745,Ariana,4-2-3-1,6742,Ängelholm,4-4-2,53639,Brwa Nouri,LDMF,True,-150.0,low,16.0,266678.0,P. Petrović,LAMF,87.0,88.0,3156735685.0,3.9366135,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,79.0,58.0,71745.0,Ariana,4-2-3-1,,,True,True,False,right,0.0256,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,87.0,88.0,right,1141,False,False,False,edge_recycle_zone,True,False,1,0,0,0,0.0256,0.0256,M. Fatahi,619925.0
