id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,carry.progression,carry.endLocation.x,carry.endLocation.y,possession.attack,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper,shot.goalkeeper.id,shot.goalkeeper.name,location,infraction.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3097199697,5819279,2H,47,7,00:47:07.136,3163.136156,3097200948.0,,,,,,corner,['shot_assist'],100.0,0.0,6849,Jönköpings Södra,4-1-4-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LCMF,True,99.0,high,32.0,0.0,,,95.0,46.0,3097199697.0,3.0611545,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,0.0,88.0,62.0,6849.0,Jönköpings Södra,4-1-4-1,True,False,False,left,0.0905,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,46.0,left,2827,True,False,False,six_yard_central,True,False,1,0,0,0,0.0905,0.0905,L. Lyck,1060409.0
3097199714,5819279,2H,49,19,00:49:19.239,3295.239395,3097199715.0,,,,,,corner,['shot_assist'],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LCMF,True,-95.0,high,32.0,652914.0,C. Farnerud,DMF,97.0,53.0,3097199714.0,3.358186,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,82.0,70.0,6849.0,Jönköpings Södra,4-1-4-1,True,False,False,right,0.0067,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,53.0,right,2959,True,False,False,six_yard_central,True,False,1,0,0,0,0.0067,0.0067,J. Shamoun,789558.0
3097199787,5819279,2H,56,5,00:56:05.954,3701.954498,3097199790.0,,,,,,corner,[],100.0,0.0,6849,Jönköpings Södra,4-1-4-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LCMF,True,98.0,high,29.0,692804.0,O. Almström,LB,96.0,42.0,3097199787.0,0.678342,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,0.0,96.0,42.0,6849.0,Jönköpings Södra,4-1-4-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,96.0,42.0,left,3365,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3097200052,5819279,2H,64,51,01:04:51.208,4227.208023,3097200056.0,,,,,,corner,['shot_assist'],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LCMF,True,-100.0,high,35.0,613701.0,H. Lyck,RCB,94.0,49.0,3097200052.0,1.2859415,"['corner', 'set_piece_attack', 'attack']",4.0,0.0,100.0,100.0,93.0,45.0,6849.0,Jönköpings Södra,4-1-4-1,True,False,False,right,0.1099,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,94.0,49.0,right,3891,True,False,False,six_yard_central,True,False,2,0,2,0,0.3748,0.1099,H. Lyck,613701.0
3097200086,5819279,2H,66,27,01:06:27.136,4323.136999,3097200091.0,,,,,,corner,[],100.0,0.0,6849,Jönköpings Södra,4-1-4-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LCMF,True,103.0,high,41.0,613701.0,H. Lyck,RCB,91.0,59.0,3097200086.0,1.466921,"['corner', 'set_piece_attack', 'attack']",1.0,0.0,100.0,0.0,91.0,59.0,6849.0,Jönköpings Södra,4-1-4-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,91.0,59.0,left,3987,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3097200358,5819279,2H,87,7,01:27:07.923,5563.923982,3097200138.0,,,,,,corner,[],100.0,0.0,6849,Jönköpings Södra,4-1-4-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LCMF,False,95.0,high,32.0,517790.0,P. Mårtensson,GK,97.0,47.0,3097200358.0,2.463658,"['corner', 'set_piece_attack']",3.0,0.0,100.0,0.0,97.0,50.0,6849.0,Jönköpings Södra,4-1-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,97.0,47.0,left,5227,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3097200435,5819279,2H,95,2,01:35:02.662,6038.662524,3097200205.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-1-4-1,71745,Ariana,4-2-3-1,51830,D. Kozica,LCMF,False,-101.0,high,26.0,502351.0,F. Martinsson,RB,95.0,63.0,3097200435.0,8.7574845,"['corner', 'set_piece_attack']",4.0,0.0,100.0,100.0,100.0,38.0,6849.0,Jönköpings Södra,4-1-4-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,63.0,right,5702,False,False,False,back_post,False,False,0,0,0,0,0.0,0.0,,
3169477721,5819260,1H,3,46,00:03:46.572,227.572222,3169477640.0,,,,,,corner,['loss'],100.0,0.0,6849,Jönköpings Södra,4-2-3-1,6785,Lund,4-1-4-1,51830,D. Kozica,AMF,False,90.0,high,27.0,0.0,,,100.0,40.0,3169477721.0,1.8313195,"['corner', 'set_piece_attack']",2.0,0.0,100.0,0.0,100.0,40.0,6849.0,Jönköpings Södra,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,100.0,40.0,left,226,False,False,True,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3169478056,5819260,1H,27,30,00:27:30.793,1651.793271,3169479666.0,,,,,,corner,[],100.0,100.0,6849,Jönköpings Södra,4-2-3-1,6785,Lund,4-1-4-1,51830,D. Kozica,AMF,True,-103.0,high,41.0,0.0,,,91.0,42.0,3169478056.0,1.647244,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,91.0,42.0,6849.0,Jönköpings Södra,4-2-3-1,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,91.0,42.0,right,1650,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3169478242,5819260,1H,43,17,00:43:17.856,2598.856616,3169478254.0,,,,,,corner,[],100.0,0.0,6849,Jönköpings Södra,4-2-3-1,6785,Lund,4-1-4-1,51830,D. Kozica,AMF,False,93.0,high,33.0,807631.0,A. Alexandersson,GK,98.0,49.0,3169478242.0,2.585421,"['corner', 'set_piece_attack']",3.0,0.0,100.0,0.0,93.0,49.0,6849.0,Jönköpings Södra,4-2-3-1,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,98.0,49.0,left,2597,False,False,False,six_yard_central,True,False,1,0,0,0,0.3132,0.3132,A. Bark,498534.0
3169478287,5819260,2H,46,18,00:46:18.244,3029.244808,3169478372.0,,,,,,corner,['loss'],100.0,100.0,6849,Jönköpings Södra,4-2-3-1,6785,Lund,4-1-4-1,51830,D. Kozica,AMF,False,-99.0,high,25.0,739679.0,G. Sågänger,LB,96.0,64.0,3169478287.0,14.52976,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,100.0,72.0,44.0,6849.0,Jönköpings Södra,4-2-3-1,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,96.0,64.0,right,2778,False,False,True,back_post,False,False,0,0,0,0,0.0,0.0,,
