id,matchId,matchPeriod,minute,second,matchTimestamp,videoTimestamp,relatedEventId,shot,groundDuel,aerialDuel,infraction,carry,type.primary,type.secondary,location.x,location.y,team.id,team.name,team.formation,opponentTeam.id,opponentTeam.name,opponentTeam.formation,player.id,player.name,player.position,pass.accurate,pass.angle,pass.height,pass.length,pass.recipient.id,pass.recipient.name,pass.recipient.position,pass.endLocation.x,pass.endLocation.y,possession.id,possession.duration,possession.types,possession.eventsNumber,possession.eventIndex,possession.startLocation.x,possession.startLocation.y,possession.endLocation.x,possession.endLocation.y,possession.team.id,possession.team.name,possession.team.formation,possession.attack.withShot,possession.attack.withShotOnGoal,possession.attack.withGoal,possession.attack.flank,possession.attack.xg,pass,aerialDuel.opponent.id,aerialDuel.opponent.name,aerialDuel.opponent.position,aerialDuel.opponent.height,aerialDuel.firstTouch,aerialDuel.height,aerialDuel.relatedDuelId,infraction.yellowCard,infraction.redCard,infraction.type,infraction.opponent.id,infraction.opponent.name,infraction.opponent.position,carry.progression,carry.endLocation.x,carry.endLocation.y,possession.attack,groundDuel.opponent.id,groundDuel.opponent.name,groundDuel.opponent.position,groundDuel.duelType,groundDuel.keptPossession,groundDuel.progressedWithBall,groundDuel.stoppedProgress,groundDuel.recoveredPossession,groundDuel.takeOn,groundDuel.side,groundDuel.relatedDuelId,possession,shot.bodyPart,shot.isGoal,shot.onTarget,shot.goalZone,shot.xg,shot.postShotXg,shot.goalkeeperActionId,shot.goalkeeper,shot.goalkeeper.id,shot.goalkeeper.name,location,infraction.opponent,start_x,start_y,end_x,end_y,side,event_time_seconds,tag_shot_assist,tag_assist,tag_loss,delivery_zone,possession_shot,possession_goal,possession_shot_count,possession_goal_count,possession_header_shot_count,possession_header_goal_count,possession_xg,first_shot_xg,first_shooter_name,first_shooter_id
3181123703,5819314,2H,83,11,01:23:11.481,5178.481895,3181123706.0,,,,,,corner,[],100.0,100.0,7014,Olympic,4-3-3,6849,Jönköpings Södra,4-2-3-1,582329,A. Sundgren,LB,True,-112.0,high,27.0,769546.0,M. Pavlak,RWF,90.0,63.0,3181123703.0,0.3889815,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,100.0,90.0,63.0,7014.0,Olympic,4-3-3,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,90.0,63.0,right,4991,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3156316663,5819297,1H,19,32,00:19:32.824,1173.824518,3156316687.0,,,,,,corner,['shot_assist'],100.0,0.0,6786,Rosengård,4-3-3,6849,Jönköpings Södra,4-2-3-1,1191227,H. Aroko,RCMF3,True,103.0,high,37.0,1316298.0,O. Hakansson,LCMF3,92.0,53.0,3156316663.0,0.591161,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,0.0,92.0,53.0,6786.0,Rosengård,4-3-3,True,False,False,left,0.1277,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,92.0,53.0,left,1172,True,False,False,penalty_spot_zone,True,False,1,0,1,0,0.1277,0.1277,O. Hakansson,1316298.0
3156316777,5819297,1H,24,44,00:24:44.909,1485.909151,3156316781.0,,,,,,corner,[],100.0,100.0,6786,Rosengård,4-3-3,6849,Jönköpings Södra,4-2-3-1,638013,R. Bonde,LB,True,-100.0,high,30.0,517687.0,K. Larsson,RCB,95.0,57.0,3156316777.0,0.235246,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,100.0,95.0,57.0,6786.0,Rosengård,4-3-3,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,57.0,right,1484,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3156316904,5819297,1H,33,5,00:33:05.024,1986.02414,3156316590.0,,,,,,corner,['loss'],100.0,0.0,6786,Rosengård,4-3-3,6849,Jönköpings Södra,4-2-3-1,1191227,H. Aroko,RCMF3,False,96.0,high,29.0,615319.0,A. Karlsson,LCB,97.0,42.0,3156316904.0,0.5795825,"['corner', 'set_piece_attack']",1.0,0.0,100.0,0.0,97.0,42.0,6786.0,Rosengård,4-3-3,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,97.0,42.0,left,1985,False,False,True,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3156317541,5819297,2H,58,3,00:58:03.522,3612.522487,3156317549.0,,,,,,corner,[],100.0,0.0,6786,Rosengård,4-4-2,6849,Jönköpings Södra,4-2-3-1,1191227,H. Aroko,LW,True,98.0,high,36.0,904575.0,M. Ritari,SS,95.0,52.0,3156317541.0,0.5410365,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,0.0,95.0,52.0,6786.0,Rosengård,4-4-2,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,95.0,52.0,left,3483,False,False,False,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3156317758,5819297,2H,80,0,01:20:00.409,4929.409917,3156317759.0,,,,,,corner,"['assist', 'shot_assist']",100.0,100.0,6786,Rosengård,4-4-2,6849,Jönköpings Södra,4-3-3,638013,R. Bonde,LB,True,-98.0,high,37.0,1316298.0,O. Hakansson,RCMF,95.0,46.0,3156317758.0,1.3755935,"['corner', 'set_piece_attack', 'attack']",2.0,0.0,100.0,100.0,95.0,46.0,6786.0,Rosengård,4-4-2,True,True,True,right,0.231,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,46.0,right,4800,True,True,False,six_yard_central,True,True,1,1,1,1,0.231,0.231,O. Hakansson,1316298.0
3156317810,5819297,2H,90,11,01:30:11.877,5540.8775,3156317573.0,,,,,,corner,['loss'],100.0,100.0,6786,Rosengård,4-4-2,6849,Jönköpings Södra,4-3-3,638013,R. Bonde,LB,False,-95.0,high,36.0,613701.0,H. Lyck,RCB,97.0,48.0,3156317810.0,12.8052955,"['corner', 'set_piece_attack', 'attack']",5.0,0.0,100.0,100.0,100.0,29.0,6786.0,Rosengård,4-4-2,False,False,False,center,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,97.0,48.0,right,5411,False,False,True,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3097200462,5819279,1H,19,42,00:19:42.722,1183.722336,3097199081.0,,,,,,corner,['loss'],100.0,100.0,71745,Ariana,4-2-3-1,6849,Jönköpings Södra,4-2-3-1,266678,P. Petrović,LAMF,True,-99.0,high,34.0,739360.0,A. Bjurnemark,LCB,95.0,51.0,3097200462.0,20.51892,"['corner', 'set_piece_attack', 'attack']",9.0,0.0,100.0,100.0,91.0,65.0,71745.0,Ariana,4-2-3-1,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,95.0,51.0,right,1182,False,False,True,six_yard_central,False,False,0,0,0,0,0.0,0.0,,
3097199989,5819279,2H,74,16,01:14:16.887,4792.887206,3097199990.0,,,,,,corner,[],100.0,100.0,71745,Ariana,4-2-3-1,6849,Jönköpings Södra,4-1-4-1,266678,P. Petrović,LAMF,True,-103.0,high,39.0,739449.0,L. Larsen,RCB,91.0,44.0,3097199989.0,0.924254,"['corner', 'set_piece_attack', 'attack']",3.0,0.0,100.0,100.0,91.0,44.0,71745.0,Ariana,4-2-3-1,False,False,False,right,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,100.0,91.0,44.0,right,4456,False,False,False,penalty_spot_zone,False,False,0,0,0,0,0.0,0.0,,
3097200053,5819279,2H,78,0,01:18:00.831,5016.831878,3097200054.0,,,,,,corner,[],100.0,0.0,71745,Ariana,4-2-3-1,6849,Jönköpings Södra,4-1-4-1,266678,P. Petrović,LAMF,True,144.0,low,26.0,53639.0,Brwa Nouri,LDMF,80.0,22.0,3097200053.0,6.9925475,"['corner', 'set_piece_attack', 'attack']",6.0,0.0,100.0,0.0,100.0,55.0,71745.0,Ariana,4-2-3-1,False,False,False,left,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,100.0,0.0,80.0,22.0,left,4680,False,False,False,edge_recycle_zone,False,False,0,0,0,0,0.0,0.0,,
