matchId,label,date,dateutc,status,competitionId,seasonId,roundId,gameweek
5559249,"Onsala - Jönköpings Södra, 1-2",2024-08-24 13:00:00,2024-08-24 11:00:00,Played,810,189506,4431323,19
5559231,"Jönköpings Södra - Torns, 3-0",2024-08-17 16:00:00,2024-08-17 14:00:00,Played,810,189506,4431323,18
5559215,"Jönköpings Södra - Trollhättan, 1-1",2024-08-12 19:00:00,2024-08-12 17:00:00,Played,810,189506,4431323,17
5559203,"Torslanda - Jönköpings Södra, 1-1",2024-08-03 16:00:00,2024-08-03 14:00:00,Played,810,189506,4431323,16
5559182,"Jönköpings Södra - Ariana, 1-0",2024-06-29 16:00:00,2024-06-29 14:00:00,Played,810,189506,4431323,15
5559166,"Trollhättan - Jönköpings Södra, 1-2",2024-06-24 19:00:00,2024-06-24 17:00:00,Played,810,189506,4431323,14
5559151,"Jönköpings Södra - Onsala, 1-1",2024-06-16 16:00:00,2024-06-16 14:00:00,Played,810,189506,4431323,13
5559137,"Oskarshamns AIK - Jönköpings Södra, 1-2",2024-06-05 19:00:00,2024-06-05 17:00:00,Played,810,189506,4431323,12
5559120,"Lund - Jönköpings Södra, 2-0",2024-06-01 16:00:00,2024-06-01 14:00:00,Played,810,189506,4431323,11
5559103,"Jönköpings Södra - Ängelholm, 1-2",2024-05-27 19:00:00,2024-05-27 17:00:00,Played,810,189506,4431323,10
5559088,"Ljungskile - Jönköpings Södra, 2-2",2024-05-19 16:00:00,2024-05-19 14:00:00,Played,810,189506,4431323,9
5559071,"Jönköpings Södra - Tvååker, 1-2",2024-05-13 19:15:00,2024-05-13 17:15:00,Played,810,189506,4431323,8
5559057,"Torns - Jönköpings Södra, 4-2",2024-05-09 14:00:00,2024-05-09 12:00:00,Played,810,189506,4431323,7
5559039,"Jönköpings Södra - Torslanda, 0-1",2024-05-04 13:00:00,2024-05-04 11:00:00,Played,810,189506,4431323,6
5559022,"Jönköpings Södra - Rosengård, 1-3",2024-04-27 16:30:00,2024-04-27 14:30:00,Played,810,189506,4431323,5
5559005,"Eskilsminne - Jönköpings Södra, 1-3",2024-04-20 16:00:00,2024-04-20 14:00:00,Played,810,189506,4431323,4
5558989,"Jönköpings Södra - Falkenberg, 1-2",2024-04-13 16:00:00,2024-04-13 14:00:00,Played,810,189506,4431323,3
5558977,"Norrby - Jönköpings Södra, 1-1",2024-04-06 13:00:00,2024-04-06 11:00:00,Played,810,189506,4431323,2
5558960,"Jönköpings Södra - Olympic, 1-0",2024-03-30 16:00:00,2024-03-30 15:00:00,Played,810,189506,4431323,1
